id,text,aspect,category,polarity,from,to
67,"good location, good service and bad service rooms were good and the staff cooperated, but the bathroom was the worst i had seen so far.",service,hotel,neutral,20,27
68,there is no parking service glass for the bedrooms can not see anything from the abundance of dirt under the pretext of building next to them to build carpets in the rooms an eternity and has a bad smell and i do not recommend it at all and god i was a barrier two nights and worked out of the early morning because of our discomfort with it,parking,hotel,negative,12,19
69,"the food is fine, the staff is bad, the furniture is old.",staff,hotel,neutral,22,27
70,"conrad follows the hill tone group fast service and high-end treatment for the inmate, the rooms are clean, the bathroom design is high-end and the spaces have been exploited in a thoughtful way there is a rinse,",rooms,hotel,positive,91,96
71,"but the staff were neither friendly nor organized, and there was no free wi-fi.",staff,hotel,negative,8,13
72,"everything is beautiful in this hotel, receptionists, baggage handlers, janitors, etc. you feel like working to rest and this feeling is difficult to find in similar places.",reception,hotel,positive,39,48
73,"this hotel is very good and i spent a honeymoon and we enjoyed our time there and the food was excellent and the staff at the top of respect and cooperation, but when trying to renew the duration, the response was that we must book from the tourism company that we booked and we can not renew through the hotel directly otherwise the trip was very beautiful and a wonderful honeymoon from the best days of my life special thanks to all the staff of the hotel",hotel,hotel,positive,5,10
74,very fine hotel and its services are excellent..,hotel,hotel,positive,10,15
75,"avoid this place if you are looking for a good place to stay... the location is fine... but it is difficult to find a taxi. the services are very bad, and the receptionists are arrogant... no one cares... avoid this place... breakfast is not bad, but it is not fresh, i would not want to eat in such a place... it is not worth the money you pay...",reception,hotel,neutral,159,168
76,very nice hotel my experience with sonesta first location is considered excellent close to everything from the airport about 1633; minutes of service is excellent there is a variety of sea food is very beautiful and bisin there is one large and another contains water games for children,sea,hotel,positive,185,188
77,the place was great. the place was great. excellent service. great view.,service,hotel,positive,52,59
78,"it's not supposed to be rated 4 stars breakfast repeater and the size of the rooms is somewhat appropriate, but the services are bad internet c in the rooms and sometimes even lack.",rooms,hotel,negative,77,82
79,"the rooms are spacious but not encouraging and with the appearance of cleanliness there is a widespread smell of mold, furniture is dusty / dusty / sticky and upholstered, and yet the bed sheets were clean and fresh.",cleanliness,hotel,negative,70,81
80,the hotel is excellent but its management is poor and the service is slow and entry is after 1636; afternoon. you will not enter the room until 1636; afternoon.,service,hotel,negative,58,65
81,"rooms with guest rooms are available on request with one or two beds and a large bathroom and it is the best trip that can be made by people, especially newly married",rooms,hotel,positive,0,5
82,slim elias slim kanaan the hotel is great and the management is very successful and cooperative the spacious rooms are comfortable and clean i was in the same resort (2010) but i noticed a big difference this year in everything i recommend to visit the resort for everyone. i was with the family the rooms under the name of dr. abdullah elias my room 2137 my children's room 2136 we took 9 rooms.,hotel,hotel,positive,27,32
83,i asked for a plate of fruit. i asked for cake. i asked for reception and room service.,reception,hotel,negative,60,69
84,very simple rooms.,rooms,hotel,negative,12,17
85,"the rooms are very bad, the air conditioning doesn't work, the service is poor, the restaurant is average, and the reception is generally reasonable.",service,hotel,negative,63,70
86,as well as the wonderful restaurant and the excellent quality of the warm reception and the overall appearance of the hotel is more than excellent,restaurant,hotel,positive,25,35
87,"bad experience, bad hotel, bad service, bad food, really bad employees, and they stick their noses in everything.",hotel,hotel,negative,20,25
88,"a very, very nice hotel which is suites consisting of a room and lounge’s excellent staff treatment.",staff,hotel,positive,84,89
89,"spacious room is a beautiful experience in this hotel, only a little inconvenience after midnight on weekends!",room,hotel,positive,9,13
90,"this place avoided dirty rooms. the staff and management were unprofessional. i spent a few days here and highly recommend staying away from this ""resort"". expectations from the staff are clearly low due to the level of customers. they treat everyone here with suspicion and disrespect.",rooms,hotel,negative,25,30
91,"the beach is beautiful... the swimming pools are large, clean and gorgeous... the low light of the night is charming.",pool,hotel,positive,39,43
92,"but short of things like cleanliness, it has to be higher than service, it has to be better than that.",service,hotel,negative,63,70
93,hotel failure first is never suitable for families. the old mattresses are filled with night women up to the hotel.,hotel,hotel,negative,0,5
94,"we tried to book a deal through the hotel and found out that they were overpriced on everything from transportation to restaurant reservations to the deal. they start by offering us a price, and then add a fee after we agree on a price.",transportation,hotel,negative,101,115
95,filters are not working and of course food is useful only for non-humans.,food,hotel,negative,38,42
96,"the hotel has a unique location near the famous stanley bridge with a wonderful view of the sea, calm surrounding the place and the hotel staff works on the comfort of the guest constantly, the restaurant overlooks the corniche, welcome and good reception and a sense of interest from all the staff of the hotel, most of the rooms are almost overlooking the sea, which makes you see a view more than wonderful,",sea,hotel,positive,92,95
97,"of course, the hotel and the cleanliness should be higher than that.",hotel,hotel,negative,15,20
98,"- the restaurant is very bad, the furniture is very bad, and the food is very bad.",furniture,hotel,negative,34,43
99,"only after a gap of two months. but yes, the purpose was different. both times, it was very comfortable. the kempinski hotel rooms are spacious and even the bathrooms are modern and feature more space.",rooms,hotel,positive,125,130
100,very beautiful water games and service and very beautiful water games and pure organization and in which games for children and food is very beautiful and many but sweets and the monster of the hotel is very wide and the beach is terrible and pictures here is a masterpiece i recommend anyone by the hotel qualifies mlion star,service,hotel,positive,31,38
101,"the service is very bad, the room is not good, and it's very far from the beach and this guest house is on the street.",room,hotel,negative,29,33
102,get the best hospitality property treatment you can get anywhere at all. a friendly team that is always ready and eager to help guests anywhere.,treatment,hotel,positive,34,43
103,"i had a good experience here, and when i arrived, the hallway was warm and welcoming, and the staff was friendly and helpful.",staff,hotel,positive,94,99
104,room 105 was massively large and quiet.,room,hotel,positive,0,4
105,the following points are a summary of our stay at this hotel. nice lobby.,hotel,hotel,positive,55,60
106,the food is so awful that some of us are sick and fed.,food,hotel,negative,4,8
107,"the level of cleanliness is not good, the rooms have insects and spiders and the floor is not clean and cleaning services and the arrangement of the rooms need to be reviewed by the management and there is no restaurant room prices are excessive compared to the same level of rooms in other hotels",prices,hotel,negative,225,231
108,"the beach is beautiful... the swimming pools are large, clean and gorgeous... the low light of the night is charming.",beach,hotel,positive,4,9
109,overall the rooms are good but the lighting is rather poor and i think this is the case for all hotels in abuja except the five-star hotels where the buildings are excellent and the restaurants and the location is good but with very high prices.,prices,hotel,negative,238,244
110,"the rooms are very bad, the air conditioning doesn't work, the service is poor, the restaurant is average, and the reception is generally reasonable.",conditioning,hotel,negative,32,44
111,very nice hotel my experience with sonesta first location is considered excellent close to everything from the airport about 1633; minutes of service is excellent there is a variety of sea food is very beautiful and bisin there is one large and another contains water games for children,hotel,hotel,positive,10,15
112,"receptionists and restaurant staff are not friendly, but without going beyond (most guests can be egyptian) eating poorly.",receptionists,hotel,negative,0,13
113,"the food is medium but not clean, the service is very poor, and the pool cleaning is getting late every day.",service,hotel,negative,38,45
114,the hotel is clean and of the quality that can be expected from a 4 star hotel in saudi arabia. some development here and there will become great. the hotel is very close to the shopping center in the city center. the staff of the hotel are respected and professional.,hotel,hotel,positive,4,9
115,"there are no facilities to talk about, no swimming pool, a gym with one bike, and one treadmill. i do not recommend this hotel, if you want to have a comfortable stay in dammam.",pool,hotel,negative,51,55
116,i had an excellent experience with a high-service hotel with a distinctive view of the sea and a special place in naama bay and close to the walk and life in sharm el sheikh and the restaurant is beautiful and varied and the very beautiful night shows make the person visit again especially for this hotel,restaurant,hotel,positive,182,192
117,"hilton long beach hotel is really cool, nice hotel in every way, great staff, i spent five days in a second hotel in hurghada, and it's a very narrow area, but i went to the hilton long beach hotel and i got a completely different treatment.",hotel,hotel,positive,18,23
118,a nice hostess and a crew who are very keen on our needs. it doesn’t always happen in other hotels. we’ll be back.. bye in dubai.,crew,hotel,positive,21,25
119,"the internet is free and fast in the rooms, the elevators are plentiful, the breakfast is very varied, everything that comes to mind is there.",elevator,hotel,positive,48,56
120,"a very bad hotel, the restaurant is very bad, the staff is very poor, but the rooms are considered reasonable, but the defects disrupt the air conditioning a lot, as well as the elevator and the interruption of water twice a day, as well as the restaurant officials to the point of lack of time so that i said treatment here is bad for the ends and if i do not come down here again reply to the said no problem",hotel,hotel,negative,11,16
121,"* great view, service, clean and average rooms",service,hotel,neutral,14,21
122,"nice place, really nice place, nice vacation, makes you forget all your worries, the reception is so warm.",place,hotel,positive,5,10
123,"the hotel is elegant and luxurious the hotel is great and arranged and quiet is suitable for the family has special parking for the hotel but its price is a little high location is quiet and the rooms are clean and tidy and room service were wonderful reception is flawed by the severity and committed, especially arabs of them as if they hate their work (arabic psychological) they wish to cancel your reservation this is my feeling and i may be wrong, but next time i will not address them and i will look for any non-arab",hotel,hotel,positive,4,9
124,"the hotel restaurant does not offer a buffet system, so lunch or dinner needs to spend an hour and a half to finish it and the restaurant food is not at the required level.",restaurant,hotel,negative,10,20
125,"bad reception, bad late services, and we sat for four hours to get in and not provide vehicles for people with special needs.",reception,hotel,negative,4,13
126,"great location, affordable for dubai, great location, affordable for dubai. free wi-fi in every hotel is an added advantage.",location,hotel,positive,6,14
127,"a very wonderful resort, a wonderful resort that contains all that we want, any family, different and varied restaurants, the area of aqua park, very large lakes and wonderful theater and wannimtion the most wonderful rooms are very large",resort,hotel,positive,17,23
128,"the service is terrible, the service is unbearable, the food is bad, and the room service is not enough, either you interfere with something, but it cleans the family and wipes the floor.",food,hotel,negative,56,60
129,"we have chosen sultan gardens on the recommendation of some relatives who have visited the hotel more than once, and we have found what we expected. the hotel has outstanding gardens in line with its name, pleasant and friendly staff, excellent hygiene level, multiple ponds, comfortable and spacious rooms and family-friendly, entertaining entertainment programs. i recommend who is looking for a hotel of his choice and will not regret",hotel,hotel,positive,91,96
130,good service excellent cleanliness very good food level nice quiet hotel to enjoy and recuperate actually it's definitely next and after and every time i bring down the sokhna hkon in cancn i'm sure,cleanliness,hotel,neutral,23,34
131,"we had trouble changing rooms because they were bad, and the response from the staff was so slow and boring that we got excited.",room,hotel,negative,24,28
132,good choice is very convenient for me in terms of price compared to the quality of accommodation and breakfast.,accommodation,hotel,neutral,83,96
133,"a great hotel. a spacious, family-friendly apartment and a very friendly staff with parking that makes it easy for you to rent a car and move around. with balluby mosque for women and men and a children's pool, the hotel is located near the city centre station in central dubai.",hotel,hotel,positive,8,13
134,"the resort is beautiful and spacious, the rooms are wonderful and comfortable, the pool is suitable for all ages, the restaurants are clean, the food is good to a large extent and the activities are entertaining. the best thing about the hotel is the team of animation. it is great how friendly and light the shade, especially chico, kimo, ismail and masha, and also the creative buffet crew, especially chef macarons and mr. mohammed al tayeb, they made me wish to return to the hotel again.",rooms,hotel,positive,42,47
135,"the location is great, very close to the mosque, and it was safe to walk around alone at night. there was a great variety in the buffet, and the food was delicious.",location,hotel,positive,4,12
136,long stay hotel is very safe and simple room is not big but it is clean service good and all the staff are trying to satisfy you eating good and if it tends to eat kenyan cayenne and hot but it is acceptable electricity is not interrupted except for the moment of changing the generator the rooms are all air-conditioned water available all day laundry on fixed and clean dates there are no thefts,room,hotel,positive,40,44
137,"the day began with a nutritious, integrated and varied breakfast – which is very refreshing – and the other guests were friendly as well as willing to share information about toronto. my room was clean and cool during the weather which was 100 degrees fahrenheit. highly recommended!",room,hotel,positive,187,191
138,sunset hotel sharm el sheikh is a very monster hotel..... away from cleaning and taking care of the comfort of guests that does not exist purely,hotel,hotel,negative,7,12
139,it is a safe hotel with great staff and clean rooms.,rooms,hotel,positive,46,51
140,"warning: please read before booking i do not understand how easily people are satisfied with this hotel, although i found it terrible. single room the size of a parking for one car. 2 3 meters or less. there is no air conditioning and my room was on the back side. the staff was actually quite good. the price was also very low! i can not remember, but about 60 euros. however, i do not recommend this place to people who are vacationing.",conditioning,hotel,negative,218,230
141,"the worst food in my hotel, the location is excellent, the swimming pools are wonderful, the view is more than wonderful, i took a room on the sea directly, but the shock was in the worst food i've ever eaten, the chef is completely unprofessional, even eating oriental food, like kosher food was, and no worse, unfortunately, the last visit.",food,hotel,negative,10,14
142,"the luxury of accommodation during the period of working with the board of directors of al noran tourist hotel in benghazi, libya sought high professionalism in the management and excellent service to customers as well as the food and drink that is offered indicates the great experiences in the management of food and drink... not to mention the calm atmosphere that prevails in the entire hotel. i hope that the hotel will maintain this high level of service to customers from inside and outside libya",service,hotel,positive,190,197
143,a hotel worthy of jordan dear to our heart amazing prices services five star very good location,location,hotel,positive,87,95
144,"rooms are great, but air conditioning is hard.",conditioning,hotel,negative,25,37
145,the location is great and the rooms are very good and clean as well.,rooms,hotel,positive,30,35
146,our team treats your questions with great attention. good location. quick and efficient laundry service. i recommend this hotel as a place to stay in this part of the kingdom.,location,hotel,neutral,58,66
147,"bad refrigerator, cheap food, cheap service, poor air conditioning and not quite clean, there are not many options to watch the tv, the remote control is broken as well as the phone.",service,hotel,negative,36,43
148,"its excellent location is very close to the women's door excellent service, the rooms are beautiful",location,hotel,positive,14,22
149,the service is excellent and meets all standards. it has a good restaurant and all the good areas are easily accessible from the hotel site.,restaurant,hotel,neutral,64,74
150,"there must be a hotel rating authority this hotel may not be called five stars on it........ the place needs many repairs, especially the lightest sleep and most entertainment and toys!!!!!!!!!!! the beach is full of rocks and no comment or alert!!!!!!!!! the price is very expensive on the place!!!!!!!!!!!!!! swimming pool is good, but it does not have entertainment and restaurants and cafes many and good.",pool,hotel,neutral,320,324
151,"a very bad restaurant, no buffet.",buffet,hotel,negative,26,32
152,"great hotel, nice and quiet place, friendly and very respectful staff, especially sumaya and fatima in the reception and living in the cleanliness of the rooms the hotel is beautiful from all sides and benefits for those looking for calm and comfort for a few days all services are available but the net is weak in some parts of the hotel",service,hotel,positive,269,276
153,"a very bad place in every need of reception, rooms, service, food, may god forgive the great mehsulh hotel, my star, and every need in line.",reception,hotel,negative,34,43
154,"breakfast, lunch, dinner, a very stressful queue for food, not worth one star out of five.",food,hotel,negative,53,57
155,"and the health club from the sauna and massage and parties i hope to return to it, god willing, where i visited the hotel on 7/9/2013 and remained a period of eleven days in it and was very wonderful",hotel,hotel,positive,116,121
156,"we arrived friday night and the taxi driver said directly oh, no, and as we got off the taxi there were a lot of prostitutes and drug dealers in the vicinity of the hotel.",hotel,hotel,negative,165,170
157,swissotel - amsterdam city centre hotel location,location,hotel,positive,40,48
158,excellent hotel and great place the hotel is located more than excellent place is very lively and distinctive and the level of eating is great and the service is excellent and the staff of the hotel is very friendly,place,hotel,positive,26,31
159,"the hotel was great in terms of staff reception, room service, beach and restaurant.",restaurant,hotel,positive,73,83
160,overall the rooms are good but the lighting is rather poor and i think this is the case for all hotels in abuja except the five-star hotels where the buildings are excellent and the restaurants and the location is good but with very high prices.,restaurant,hotel,neutral,182,192
161,"it’s hard to make this place better! i stayed for three nights on different occasions. i got two different rooms and both were clean, comfortable and quiet.",rooms,hotel,positive,107,112
162,"all room facilities do not work (safety box, phone, tv)",facilities,hotel,negative,9,19
163,less than average hotel,hotel,hotel,negative,18,23
164,"we enjoyed ten days in this beautiful hotel in terms of its excellent location and proximity to the beach and accommodation is pleasant and around restaurants, shops and cafes and in terms of food is very good and cleanliness is good and the rooms are wide and comfortable we hope to visit again thanks to the hotel staff",food,hotel,neutral,192,196
165,we went for a week definitely not long enough and we will definitely come back again....just can say that the reception was very bad and some of the staff were very rude...,reception,hotel,negative,110,119
166,"a very reasonable hotel for hotel apartments is a very reasonable place close to the metro, airport and shopping center city centre deira, but it is possible to classify 1635; four stars mesh breakfast to some extent is not luxurious but",hotel,hotel,neutral,18,23
167,"fit for families comfortable and beautiful hotel and fit for families in good parking and not excellent and reasonable swimming pool and provides internet in the lobby only wireless and in the wired room close to it supermaker and a large number of restaurants and mall of the emirates is not close to it. - lobby has a smell of indian restaurant and small and drainage in the bathroom god bless you is not good but clean wholesale the hotel is suitable for family housing and has an upcoming experience to live in it, god willing",pool,hotel,positive,128,132
168,it is surrounded by many restaurants. the prices of services and food are very expensive in the hotel.,food,hotel,negative,65,69
169,ugly place.,place,hotel,negative,5,10
170,clean the room and the screen of the receptionists. thank you very much for swissotel.,receptionists,hotel,positive,37,50
171,"the food is so bad, there's no variety, and the returned food is put back in.",food,hotel,negative,4,8
172,"and the fast internet and the attractive price, which made it the first choice when i was in johannesburg, in short, i felt like i didn't leave my house.",internet,hotel,positive,13,21
173,"excellent location in the heart of sultan ahmed, despite the many visits to istanbul, i did not find a hotel like this by virtue of its strategic and vital location, as it is close to hagia sophia and sultan ahmed and grand bazaar and is about ten minutes walk from the egyptian market, which makes you in the center of the old city and around you all services as soon as you walk without the need for a car i recommend it and strength and will be the first hotel for me on my next visits, god willing",location,hotel,positive,10,18
174,"the location of the highest level hotel apartments is excellent and independent with everything you need and it is very tidy and very clean, very good design!",hotel,hotel,positive,34,39
175,"and the service in the courtyard is very good, and the single rooms are also very beautiful, and the bathroom is completely glassy, but not transparent, i strongly recommend it.",bathroom,hotel,neutral,101,109
176,i would like to thank all the staff of abu qir restaurant for their taste and good welcome us i advise everyone who wants to enjoy a distinctive commercial site and high quality service he is visiting this place,service,hotel,positive,178,185
177,the hotel's surroundings are beautiful and many great choices of food and drinks have been made at the bar.,food,hotel,positive,65,69
178,"staying in a bad hotel was terrible. i paid for a big room, but they gave me a small room a lot at the level of a small hotel or a hotel room and breakfast, not at the level of a three-star hotel.",room,hotel,negative,54,58
179,"great hotel good hotel - spacious room and good furniture - but the bathroom seat is narrow - the staff is friendly and cooperative to the extreme - close to the airport is at noon about ten minutes - al-musaf does not have a restaurant just a small cafe, i think it is very suitable for families",bathroom,hotel,negative,68,76
180,a hotel with terrible service and bad service was very bad.,service,hotel,negative,22,29
181,it has a club and a spa more than wonderful and close to restaurants and there are wonderful sessions,restaurant,hotel,positive,57,67
182,"spacious, ventilated room, new furniture.",room,hotel,positive,21,25
183,"a very comfortable hotel with large rooms. the service is excellent, i booked for 4 nights, and i didn’t want to leave on the last day.",rooms,hotel,positive,36,41
184,"this place avoided the shabby and poorly maintained room: it looks good for groups of tourists from poles and russians, but does not suit more adventurous travelers.",room,hotel,negative,52,56
185,there are some deficiencies in the rooms that are corrected if you ask for them.. the situation is difficult and does not suit a five-star hotel.,rooms,hotel,negative,35,40
186,"there is no bad service, the beds are broken, the administration is not responsible, there is a smell of waste in the rooms and the tiles are broken, and they give us used sheets, there is no cleanliness in the rooms, and there is no telephone connection to the room.",rooms,hotel,negative,118,123
187,a beautiful place with a lot of entertainment the place is wonderful and has attractive places and wonderful services and enjoyed a lot,service,hotel,positive,109,116
